"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"1827","fd-39740961","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39740961.html","clean","1 420","119  ","4","3"," 1","1975","31000","87","76"
"1828","fd-37545434","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37545434.html","clean","1 399","105  ","5","4"," 2","1969","31500","53","35"
"1829","fd-39037219","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39037219.html","clean","1 015","99  ","4","3"," 1","2004","31200","75","16"
"1830","fd-39730186","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39730186.html","clean","1 440","118  ","4","3"," 2",NA,"31500","36","31"
"1831","fd-39729265","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39729265.html","clean","1 066","98  ","4","3"," 4",NA,"31300",NA,NA
"1832","fd-37864216","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37864216.html","clean","1 095","81  ","4","3"," 5",NA,"31000","57","6"
"1833","fd-39721307","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39721307.html","clean","1 400","91  ","4","3"," 8",NA,"31000",NA,NA
"1834","fd-39641053","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39641053.html","clean","1 129","85  ","4","3"," 2",NA,"31000","17","27"
"1835","fd-39489730","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39489730.html","clean","1 010","90  ","4","3"," 3","2016","31300","52","1"
"1836","fd-39714397","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39714397.html","clean","1 435","92  ","3","2"," 2",NA,"31000",NA,NA
"1837","fd-39636929","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39636929.html","clean","1 057","87  ","4","3"," 3",NA,"31000","73","40"
"1838","fd-39547089","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39547089.html","clean","1 280","94  ","5","3"," 4","1800","31000",NA,NA
"1839","fd-39706612","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39706612.html","clean","1 250","58  ","2","1"," 3",NA,"31000","89","9"
"1840","fd-39029606","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39029606.html","clean","1 140","73  ","3","2"," 1",NA,"31300","97","9"
"1841","fd-39705729","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39705729.html","clean","1 075","81  ","3","2"," 1",NA,"31000",NA,NA
